G1,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G2,G20,G3,G4,G5,G6,G7,G8,G9
GOOGL,V,AMZN,MMM,T,COP,PG,NEE,UNH,BA,BABA,XOM,INTC,JPM,JNJ,BRK-A,AAPL,MSFT,AMGN,ORCL
GOOG,MA,MELI,HON,VZ,EOG,UL,DUK,CVS,UTX,EBAY,RDS-A,TXN,BAC,PFE,BRK-B,SNE,ADP,GILD,SAP
FB,PYPL,W,GE,VZA,SU,UN,D,ANTM,LMT,EBAYL,RDS-B,AVGO,WFC,NVS,CB,PHG,CA,NVO,ADBE
BIDU,AXP,VIPS,DHR,IRDMB,EPD,CL,SO,AET,GD,PDD,CVX,NXPI,C,MRK,AIG,SONO,CTXS,BIIB,CRM
JD,COF,BZUN,ABB,BCE,OXY,EL,AEP,ESRX,RTN,ULTA,PTR,AMD,RY,ABBV,PGR,FN,SSNC,CELG,INTU
TWTR,SLMBP,OSTK,ITW,CHT,CNQ,KMB,ED,HUM,COL,GPC,TOT,MCHP,TD,LLY,TRV,UEIC,JKHY,SHPG,WDAY
IQ,DFS,LE,ETN,CTL,APC,COTY,XEL,CI,TDG,TSCO,BP,ASX,BNS,SNY,ALL,HBB,FFIV,VRTX,RHT
VRSN,SYF,GAIA,ROP,ATUS,PXD,HLF,PCG,CNC,LLL,QRTEA,SNP,STM,PNC,GSK,SLF,WATT,IRM,REGN,SPLK
WB,IX,LQDT,IR,GLIBA,CLR,SPB,EIX,WCG,HEI,KAR,EQNR,MXIM,BMO,BMY,HIG,VUZI,DOCU,ALXN,ANSS
IAC,TSS,LITB,CMI,GLIBP,DVN,NUS,WEC,MOH,HII,FIVE,E,QRVO,CM,AZN,MKL,KODK,DOX,BGNE,SHOP
MTCH,EFX,EVLV,ROK,SHEN,HES,ENR,PPL,MGLN,SPR,ETSY,EC,ON,STI,GWPH,L,MSN,AZPN,BMRN,FTNT
GRUB,WU,ATV,AME,ATNI,MRO,EPC,DTE,HIIQ,BWXT,SFIX,IMO,IDTI,IBN,HRTX,XL,KOSS,GWRE,INCY,CDNS
