0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
GOOGL,XOM,JPM,JNJ,BRK-A,AAPL,MSFT,AMGN,ORCL,V,AMZN,MMM,T,COP,PG,NEE,UNH,BA,BABA,INTC
GOOG,RDS-A,BAC,PFE,BRK-B,SNE,ADP,GILD,SAP,MA,MELI,HON,VZ,EOG,UL,DUK,CVS,UTX,EBAY,TXN
FB,RDS-B,WFC,NVS,CB,PHG,CA,NVO,ADBE,PYPL,W,GE,VZA,SU,UN,D,ANTM,LMT,EBAYL,AVGO
BIDU,CVX,C,MRK,AIG,SONO,CTXS,BIIB,CRM,AXP,VIPS,DHR,IRDMB,EPD,CL,SO,AET,GD,PDD,NXPI
JD,PTR,RY,ABBV,PGR,FN,SSNC,CELG,INTU,COF,BZUN,ABB,BCE,OXY,EL,AEP,ESRX,RTN,ULTA,AMD
TWTR,TOT,TD,LLY,TRV,UEIC,JKHY,SHPG,WDAY,SLMBP,OSTK,ITW,CHT,CNQ,KMB,ED,HUM,COL,GPC,MCHP
IQ,BP,BNS,SNY,ALL,HBB,FFIV,VRTX,RHT,DFS,LE,ETN,CTL,APC,COTY,XEL,CI,TDG,TSCO,ASX
VRSN,SNP,PNC,GSK,SLF,WATT,IRM,REGN,SPLK,SYF,GAIA,ROP,ATUS,PXD,HLF,PCG,CNC,LLL,QRTEA,STM
WB,EQNR,BMO,BMY,HIG,VUZI,DOCU,ALXN,ANSS,IX,LQDT,IR,GLIBA,CLR,SPB,EIX,WCG,HEI,KAR,MXIM
IAC,E,CM,AZN,MKL,KODK,DOX,BGNE,SHOP,TSS,LITB,CMI,GLIBP,DVN,NUS,WEC,MOH,HII,FIVE,QRVO
MTCH,EC,STI,GWPH,L,MSN,AZPN,BMRN,FTNT,EFX,EVLV,ROK,SHEN,HES,ENR,PPL,MGLN,SPR,ETSY,ON
GRUB,IMO,IBN,HRTX,XL,KOSS,GWRE,INCY,CDNS,WU,ATV,AME,ATNI,MRO,EPC,DTE,HIIQ,BWXT,SFIX,IDTI
