"tik","g.num"
"BRK-B","G.1."
"BRK-A","G.1."
"CB","G.1."
"AIG","G.1."
"PGR","G.1."
"TRV","G.1."
"ALL","G.1."
"SLF","G.1."
"HIG","G.1."
"MKL","G.1."
"L","G.1."
"XL","G.1."
"CINF","G.1."
"CNA","G.1."
"ACGL","G.1."
"AFG","G.1."
"WRB","G.1."
"Y","G.1."
"RE","G.1."
"ORI","G.1."
"KMPR","G.1."
"RNR","G.1."
"THG","G.1."
"AXS","G.1."
"MTG","G.1."
"ESGR","G.1."
"RDN","G.1."
"SIGI","G.1."
"RLI","G.1."
"ANAT","G.1."
"MCY","G.1."
"WTM","G.1."
"AFSI","G.1."
"PRA","G.1."
"AHL","G.1."
"NAVG","G.1."
"HMN","G.1."
"UVE","G.1."
"SAFT","G.1."
"STFC","G.1."
"UFCS","G.1."
"AMSF","G.1."
"STC","G.1."
"MBI","G.1."
"UIHC","G.1."
"EMCI","G.1."
"GBLI","G.1."
"DGICA","G.1."
"FNHC","G.1."
"MHLD","G.1."
"BRK-B.s1","G.1.s1"
"BRK-A.s1","G.1.s1"
"CB.s1","G.1.s1"
"AIG.s1","G.1.s1"
"PGR.s1","G.1.s1"
"TRV.s1","G.1.s1"
"ALL.s1","G.1.s1"
"SLF.s1","G.1.s1"
"HIG.s1","G.1.s1"
"MKL.s1","G.1.s1"
"L.s1","G.1.s1"
"XL.s1","G.1.s1"
"CINF.s1","G.1.s1"
"CNA.s1","G.1.s1"
"ACGL.s1","G.1.s1"
"AFG.s1","G.1.s1"
"WRB.s1","G.1.s1"
"Y.s1","G.1.s1"
"RE.s1","G.1.s1"
"ORI.s1","G.1.s1"
"KMPR.s1","G.1.s1"
"RNR.s1","G.1.s1"
"THG.s1","G.1.s1"
"AXS.s1","G.1.s1"
"MTG.s1","G.1.s1"
"ESGR.s1","G.1.s1"
"RDN.s1","G.1.s1"
"SIGI.s1","G.1.s1"
"RLI.s1","G.1.s1"
"ANAT.s1","G.1.s1"
"MCY.s1","G.1.s1"
"WTM.s1","G.1.s1"
"AFSI.s1","G.1.s1"
"PRA.s1","G.1.s1"
"AHL.s1","G.1.s1"
"NAVG.s1","G.1.s1"
"HMN.s1","G.1.s1"
"UVE.s1","G.1.s1"
"SAFT.s1","G.1.s1"
"STFC.s1","G.1.s1"
"UFCS.s1","G.1.s1"
"AMSF.s1","G.1.s1"
"STC.s1","G.1.s1"
"MBI.s1","G.1.s1"
"UIHC.s1","G.1.s1"
"EMCI.s1","G.1.s1"
"GBLI.s1","G.1.s1"
"DGICA.s1","G.1.s1"
"FNHC.s1","G.1.s1"
"MHLD.s1","G.1.s1"
