"","V1","V2"
"1","BRK-B","G1"
"2","BRK-A","G1"
"3","CB","G1"
"4","AIG","G1"
"5","PGR","G1"
"6","TRV","G1"
"7","ALL","G1"
"8","SLF","G1"
"9","HIG","G1"
"10","MKL","G1"
"11","L","G1"
"12","XL","G1"
"13","CINF","G1"
"14","CNA","G1"
"15","ACGL","G1"
"16","AFG","G1"
"17","WRB","G1"
"18","Y","G1"
"19","RE","G1"
"20","ORI","G1"
"21","KMPR","G1"
"22","RNR","G1"
"23","THG","G1"
"24","AXS","G1"
"25","MTG","G1"
"26","ESGR","G1"
"27","RDN","G1"
"28","SIGI","G1"
"29","RLI","G1"
"30","ANAT","G1"
"31","MCY","G1"
"32","WTM","G1"
"33","AFSI","G1"
"34","PRA","G1"
"35","AHL","G1"
"36","NAVG","G1"
"37","HMN","G1"
"38","UVE","G1"
"39","SAFT","G1"
"40","STFC","G1"
"41","UFCS","G1"
"42","AMSF","G1"
"43","STC","G1"
"44","MBI","G1"
"45","UIHC","G1"
"46","EMCI","G1"
"47","GBLI","G1"
"48","DGICA","G1"
"49","FNHC","G1"
"50","MHLD","G1"
"51","AMGN","G2"
"52","GILD","G2"
"53","NVO","G2"
"54","BIIB","G2"
"55","CELG","G2"
"56","SHPG","G2"
"57","VRTX","G2"
"58","REGN","G2"
"59","ALXN","G2"
"60","BMRN","G2"
"61","INCY","G2"
"62","SGEN","G2"
"63","NBIX","G2"
"64","NKTR","G2"
"65","ALNY","G2"
"66","JAZZ","G2"
"67","SRPT","G2"
"68","TECH","G2"
"69","ALKS","G2"
"70","IONS","G2"
"71","LGND","G2"
"72","UTHR","G2"
"73","EXEL","G2"
"74","IMMU","G2"
"75","MDGL","G2"
"76","OPK","G2"
"77","EBS","G2"
"78","ARRY","G2"
"79","CBPO","G2"
"80","HALO","G2"
"81","RGEN","G2"
"82","SPPI","G2"
"83","FOLD","G2"
"84","CBM","G2"
"85","ARNA","G2"
"86","ARWR","G2"
"87","RUBY","G2"
